country_name,GWn,GWc,regex,region,continent,GW_startdate,GW_enddate,microstate,GW_membership,cown,cowc,polity_ccode,polity_country,polity_startdate,polity_enddate,num_periods,problem_history,lon,lat,cow_startdate,cow_enddate
Netherlands,210,NTH,^(?!.*\bant)(?!.*\bcarib).*netherlands,Western Europe,Europe,1816-01-01,NA,FALSE,TRUE,210,NTH,210,Netherlands,1815-06-08,NA,1,FALSE,5.291266,52.132633,1800-01-01,NA
Belgium,211,BEL,^(?!.*luxem).*belgium,Western Europe,Europe,1830-10-04,NA,FALSE,TRUE,211,BEL,211,Belgium,1830-10-04,NA,1,FALSE,4.469936,50.503887,1830-10-04,NA
Luxembourg,212,LUX,^(?!.*belg).*luxem,Western Europe,Europe,1867-05-11,NA,FALSE,TRUE,212,NA,212,NA,NA,NA,1,FALSE,6.129583,49.815273,1867-05-11,NA
France,220,FRN,^(?!.*\bdep).*france|french.?republic|\bgaul,Western Europe,Europe,1816-01-01,NA,FALSE,TRUE,220,FRN,220,France,1800-01-01,NA,1,FALSE,2.213749,46.227638,1800-01-01,NA
Monaco,221,MNC,monaco,Western Europe,Europe,1816-01-01,NA,TRUE,TRUE,221,NA,221,NA,NA,NA,1,FALSE,7.4246158,43.7384176,1816-01-01,NA
Liechtenstein,223,LIE,liechtenstein|LIECHSTENSTEIN,Western Europe,Europe,1816-01-01,NA,TRUE,TRUE,223,NA,223,NA,NA,NA,1,FALSE,9.555373,47.166,1816-01-01,NA
Switzerland,225,SWZ,switz|swiss,Western Europe,Europe,1816-01-01,NA,FALSE,TRUE,225,SWZ,225,Switzerland,1848-09-12,NA,1,FALSE,8.227512,46.818188,1815-06-09,NA
Spain,230,SPN,spain,Southern Europe,Europe,1816-01-01,NA,FALSE,TRUE,230,SPN,230,Spain,1800-01-01,NA,1,FALSE,-3.74922,40.463667,1800-01-01,NA
Andorra,232,AND,andorra,Southern Europe,Europe,1816-01-01,NA,TRUE,TRUE,232,NA,232,NA,NA,NA,1,FALSE,1.521801,42.506285,1816-01-01,NA
Portugal,235,POR,portugal,Southern Europe,Europe,1816-01-01,NA,FALSE,TRUE,235,POR,235,Portugal,1800-01-01,NA,1,FALSE,-8.224454,39.399872,1800-01-01,NA
Hanover,240,HAN,hanover,Western Europe,Europe,1816-01-01,1871-01-17,FALSE,TRUE,240,NA,240,NA,NA,NA,1,FALSE,-96.8939572,33.020507,1816-01-01,1871-01-17
Bavaria,245,BAV,bavaria,Western Europe,Europe,1816-01-01,1871-01-17,FALSE,TRUE,245,BAV,245,Bavaria,1800-01-01,1871-01-18,1,FALSE,-81.789749,26.5632108,1806-01-08,1871-01-17
Germany (Prussia),255,GMY,^(?!.*east).*germany|^(?=.*\bfed.*\brep).*german|prussia,Western Europe,Europe,1816-01-01,1945-05-07,FALSE,TRUE,255,GMY,255,Prussia|Germany,1800-01-01,1945-05-07,1,FALSE,10.451526,51.165691,1800-01-01,1945-05-07
German Federal Republic,260,GFR,^(?=.*\bfed.*\brep).*german|^f\.?r\.?g\.?$|^b\.?r\.?d\.?$|^(?=.*west).*germany|bonn.?republic|^(?!\beast).*germany(?!.*east),Western Europe,Europe,1949-09-21,NA,FALSE,TRUE,255,GMY,255,Germany,1990-10-03,NA,2,TRUE,7.0982068,50.73743,1990-10-03,NA
German Federal Republic,260,GFR,^(?=.*\bfed.*\brep).*german|^f\.?r\.?g\.?$|^b\.?r\.?d\.?$|^(?=.*west).*germany|bonn.?republic|^(?!\beast).*germany(?!.*east),Western Europe,Europe,1949-09-21,NA,FALSE,TRUE,260,GFR,260,Germany West,1945-05-08,1990-10-02,2,FALSE,7.0982068,50.73743,1955-05-05,1990-10-02
German Democratic Republic,265,GDR,german.?democratic.?republic|^(d|g)\.?d\.?r\.?$|^(?=.*east).*germany,Western Europe,Europe,1949-10-05,1990-10-02,FALSE,TRUE,265,GDR,265,Germany East,1945-05-08,1990-10-02,1,FALSE,13.404954,52.5200066,1954-03-25,1990-10-02
Baden,267,BAD,baden,Western Europe,Europe,1816-01-01,1871-01-17,FALSE,TRUE,267,BAD,267,Baden,1819-07-16,1871-01-18,1,FALSE,-90.2315018,38.7182608,1806-06-08,1871-01-17
Saxony,269,SAX,saxony,Western Europe,Europe,1816-01-01,1871-01-17,FALSE,TRUE,269,SAX,269,Saxony,1806-12-11,1871-01-18,1,FALSE,-92.3496976,34.663911,1806-06-08,1871-01-17
Wurttemberg,271,WRT,w(u|ue|ü)rttemb(u|e)rg|wuttemberg|wurttemberg,Western Europe,Europe,1816-01-01,1871-01-17,FALSE,TRUE,271,WRT,271,Wuerttemburg,1800-01-01,1871-01-18,1,FALSE,9.1829321,48.7758459,1806-06-08,1871-01-17
Hesse-Kassel (Electoral),273,HSE,hesse.*lectoral|hesse.*kassel(?!.*ducal),Western Europe,Europe,1816-01-01,1871-01-17,FALSE,TRUE,273,NA,273,NA,NA,NA,1,FALSE,9.4797461,51.3127114,1813-01-01,1871-01-17
Hesse-Darmstadt (Ducal),275,HSD,hess.*gran.*ducal|hess.*darms,Western Europe,Europe,1816-01-01,1871-01-17,FALSE,TRUE,275,NA,275,NA,NA,NA,1,FALSE,9.4797461,51.3127114,1815-06-09,1871-01-17
Mecklenburg-Schwerin,280,MEC,mecklenbur.*schwerin,Western Europe,Europe,1816-01-01,1871-01-17,FALSE,TRUE,280,NA,280,NA,NA,NA,1,FALSE,11.4012499,53.6355022,1815-06-09,1871-01-17
Poland,290,POL,poland,Eastern Europe,Europe,1918-11-11,NA,FALSE,TRUE,290,POL,290,Poland,1918-11-11,NA,1,FALSE,19.145136,51.919438,1918-11-11,NA
Austria-Hungary,300,AUH,austria.*hungary|austr.*emp,Central Europe,Europe,1816-01-01,1918-11-13,FALSE,TRUE,300,NA,300,NA,NA,NA,1,FALSE,16.3738189,48.2081743,1800-01-01,1918-11-13
Austria,305,AUS,^(?!.*hungary).*austria|\baust(?!ralia).*(?!.*hungar),Western Europe,Europe,1918-11-14,NA,FALSE,TRUE,305,AUS,305,Austria,1800-01-01,NA,1,FALSE,14.550072,47.516231,1918-11-14,NA
Hungary,310,HUN,^(?!.*austr).*hungary,Eastern Europe,Europe,1918-11-03,NA,FALSE,TRUE,310,HUN,310,Hungary,1867-05-29,NA,1,FALSE,19.503304,47.162494,1918-11-03,NA
Czechoslovakia,315,CZE,czechoslovakia|CZECH REP,Eastern Europe,Europe,1918-11-11,1992-12-31,FALSE,TRUE,315,CZE,315,Czechoslovakia,1918-10-28,1992-12-31,1,FALSE,14.4378005,50.0755381,1918-11-11,1992-12-31
Czech Republic,316,CZR,^(?=.*rep).*czech|czechia|bohemia,Eastern Europe,Europe,1993-01-01,NA,FALSE,TRUE,316,CZR,316,Czech Republic,1993-01-01,NA,1,FALSE,15.472962,49.817492,1993-01-01,NA
Slovakia,317,SLO,^(?!.*cze).*slovak,Eastern Europe,Europe,1993-01-01,NA,FALSE,TRUE,317,SLO,317,Slovak Republic,1993-01-01,NA,1,FALSE,19.699024,48.669026,1993-01-01,NA
Italy/Sardinia,325,ITA,italy|sardinia,Southern Europe,Europe,1816-01-01,NA,FALSE,TRUE,325,SAR,324,Sardinia,1815-06-08,1861-03-16,2,TRUE,9.0128926,40.1208752,1815-06-09,NA
Italy/Sardinia,325,ITA,italy|sardinia,Southern Europe,Europe,1816-01-01,NA,FALSE,TRUE,325,ITA,325,Italy,1861-03-17,NA,2,FALSE,9.0128926,40.1208752,1815-06-09,NA
Papal States,327,PAP,holy.?see|vatican|papal.?st,Southern Europe,Europe,1816-01-01,1870-09-22,FALSE,TRUE,327,PAP,327,Papal States,1815-06-08,1870-10-02,1,FALSE,12.453389,41.902916,1815-06-09,1870-09-22
Sicily (Two Sicilies),329,SIC,two.?sicilies|SICILY,Southern Europe,Europe,1816-01-01,1861-03-16,FALSE,TRUE,329,SIC,329,Two Sicilies,1816-01-01,1860-10-22,1,FALSE,18.6936505,-33.8143653,1800-01-01,1861-03-16
San Marino,331,SNM,san.?marino,Southern Europe,Europe,1816-01-01,NA,TRUE,TRUE,331,NA,331,NA,NA,NA,1,FALSE,12.457777,43.94236,1816-01-01,NA
Modena,332,MOD,modena,Southern Europe,Europe,1816-01-01,1861-03-16,FALSE,TRUE,332,MOD,332,Modena,1815-06-08,1860-03-13,1,FALSE,-103.387818,20.6925426,1815-06-09,1861-03-16
Parma,335,PMA,parma,Southern Europe,Europe,1816-01-01,1861-03-16,FALSE,TRUE,335,PMA,335,Parma,1815-06-08,1860-03-13,1,FALSE,-121.8689106,37.2210163,1815-06-09,1861-03-16
Tuscany,337,TUS,tuscany,Southern Europe,Europe,1816-01-01,1861-03-16,FALSE,TRUE,337,TUS,337,Tuscany,1815-06-08,1860-03-13,1,FALSE,-97.536104,35.3329639,1815-06-09,1861-03-16
Malta,338,MLT,\bmalta,Southern Europe,Europe,1964-09-21,NA,FALSE,TRUE,338,NA,338,NA,NA,NA,1,FALSE,14.375416,35.937496,1964-09-21,NA
Albania,339,ALB,albania,Southern Europe,Europe,1913-01-01,NA,FALSE,TRUE,339,ALB,339,Albania,1914-09-04,NA,1,FALSE,20.168331,41.153332,1913-01-01,NA
Serbia,340,SER,^(?!.*monte).*serbia|^(?=.*yugo).*serbia,Southern Europe,Europe,1878-07-13,1915-10-01,FALSE,TRUE,345,SER,342,Serbia,1830-08-15,1920-12-31,4,TRUE,21.005859,44.016521,1878-07-13,1915-10-01
Serbia,340,SER,^(?!.*monte).*serbia|^(?=.*yugo).*serbia,Southern Europe,Europe,1878-07-13,1915-10-01,FALSE,TRUE,345,SER,342,Serbia,2006-06-03,NA,4,TRUE,21.005859,44.016521,1878-07-13,1915-10-01
Serbia,340,SER,^(?!.*monte).*serbia|^(?=.*yugo).*serbia,Southern Europe,Europe,2006-06-05,NA,FALSE,TRUE,345,SER,342,Serbia,1830-08-15,1920-12-31,4,TRUE,21.005859,44.016521,2006-06-05,NA
Serbia,340,SER,^(?!.*monte).*serbia|^(?=.*yugo).*serbia,Southern Europe,Europe,2006-06-05,NA,FALSE,TRUE,345,SER,342,Serbia,2006-06-03,NA,4,TRUE,21.005859,44.016521,2006-06-05,NA
Montenegro,341,MNG,^(?!.*serbia).*montenegro,Southern Europe,Europe,1868-01-01,1915-07-01,FALSE,TRUE,341,MNT,348,Montenegro,2006-06-03,NA,2,TRUE,19.374389999999998,42.708678,1868-01-01,1915-07-01
Montenegro,341,MNG,^(?!.*serbia).*montenegro,Southern Europe,Europe,2006-06-03,NA,FALSE,TRUE,341,MNT,348,Montenegro,2006-06-03,NA,2,TRUE,19.374389999999998,42.708678,2006-06-03,NA
Macedonia (Former Yugoslav Republic of),343,MAC,macedonia|^f\.?y\.?r\.?o\.?m\.?$,Southern Europe,Europe,1991-11-20,NA,FALSE,TRUE,343,MAC,343,Macedonia,1991-09-17,NA,1,FALSE,21.745275,41.608635,1991-11-20,NA
Croatia,344,CRO,croatia,Southern Europe,Europe,1992-04-27,NA,FALSE,TRUE,344,CRO,344,Croatia,1991-06-25,NA,1,FALSE,15.2,45.1,1992-04-27,NA
Yugoslavia,345,YUG,yugoslavia|serbia,Southern Europe,Europe,1918-12-01,2006-06-04,FALSE,TRUE,345,YUG,345,Yugoslavia,1921-01-01,1991-07-01,2,FALSE,20.28,44.49,1918-12-01,2006-06-04
Yugoslavia,345,YUG,yugoslavia|serbia,Southern Europe,Europe,1918-12-01,2006-06-04,FALSE,TRUE,345,YGS,347,Yugoslavia|Serbia and Montenegro,1991-07-01,2006-06-02,2,TRUE,20.28,44.49,1918-12-01,2006-06-04
Bosnia-Herzegovina,346,BOS,herzegovina|bosnia,Southern Europe,Europe,1992-04-27,NA,FALSE,TRUE,346,BOS,346,Bosnia,1992-04-05,NA,1,FALSE,17.679076,43.915886,1992-04-27,NA
Kosovo,347,KOS,kosovo,Southern Europe,Europe,2008-02-17,NA,FALSE,TRUE,347,KOS,341,Kosovo,2008-02-17,NA,1,FALSE,20.902977,42.6026359,2008-02-17,NA
Slovenia,349,SLV,slovenia,Southern Europe,Europe,1992-04-27,NA,FALSE,TRUE,349,SLV,349,Slovenia,1991-06-25,NA,1,FALSE,14.995463,46.151241,1992-04-27,NA
