country,regime,start,end
Congo,A,1997,1998
Eritrea,A,1993,1998
Ethiopia,A,1871,1991
Ethiopia,T,1991,1995
Ethiopia,S,1995,1998
Gabon,A,1960,1964
Gabon,S,1964,1968
Gabon,A,1968,1994
Gabon,T,1994,1995
Gabon,S,1995,1998
Ghana,D,1957,1960
Ghana,A,1960,1969
Ghana,T,1969,1969
Ghana,D,1969,1972
Ghana,A,1972,1978
Ghana,T,1978,1979
Ghana,D,1979,1982
Ghana,A,1982,1992
Ghana,T,1992,1992
Ghana,S,1992,1998
Guinea,A,1958,1998
Ivory Coast,A,1960,1995
Ivory Coast,S,1995,1998
Kenya,D,1963,1966
Kenya,A,1966,1979
Kenya,S,1979,1982
Kenya,A,1982,1991
Kenya,T,1991,1992
Kenya,S,1992,1998
Lesotho,S,1966,1970
Lesotho,A,1970,1993
Lesotho,S,1993,1998
Liberia,A,1847,1998
Madagascar,D,1960,1971
Madagascar,A,1971,1991
Madagascar,T,1991,1993
Madagascar,S,1993,1998
Malawi,A,1964,1993
Malawi,T,1993,1994
Malawi,D,1994,1998
Mali,A,1960,1991
Mali,T,1991,1992
Mali,D,1992,1998
Mauritania,A,1960,1998
Mozambique,A,1975,1995
Mozambique,S,1995,1998
Namibia,D,1990,1998
Namibia,S,1998,1998
Niger,A,1960,1990
Niger,T,1990,1993
Niger,D,1993,1996
Niger,A,1996,1998
Nigeria,S,1960,1966
Nigeria,A,1966,1975
Nigeria,T,1975,1979
Nigeria,S,1979,1983
Nigeria,A,1983,1998
Rwanda,D,1962,1963
Rwanda,A,1963,1998
Senegal,S,1960,1962
Senegal,A,1962,1974
Senegal,T,1974,1978
Senegal,S,1978,1998
Senegal,D,1998,1998
Sierra Leone,D,1961,1967
Sierra Leone,A,1967,1968
Sierra Leone,D,1968,1968
Sierra Leone,S,1968,1973
Sierra Leone,A,1973,1998
Somalia,D,1960,1969
Somalia,A,1969,1998
South Africa,A,1910,1993
South Africa,T,1993,1994
South Africa,D,1994,1998
Tanzania,D,1961,1962
Tanzania,S,1962,1965
Tanzania,A,1965,1992
Tanzania,T,1992,1995
Tanzania,S,1995,1998
Togo,D,1960,1961
Togo,A,1961,1963
Togo,D,1963,1967
Togo,A,1967,1994
Togo,S,1994,1998
Togo,A,1998,1998
Uganda,S,1962,1966
Uganda,A,1966,1998
Zaire (Democratic Republic of Congo),S,1960,1960
Zaire (Democratic Republic of Congo),A,1960,1998
Zambia,S,1964,1971
Zambia,A,1971,1990
Zambia,T,1990,1991
Zambia,D,1991,1993
Zambia,S,1993,1998
Zimbabwe,S,1980,1998
