country,start_year,regime,end_year
Russia,1906,A,NA
Russia,1991,D,NA
Rwanda,1960,A,NA
Rwanda,1994,I,NA
Sardinia,1815,A,1860
Saudi Arabia,1926,A,NA
Saxony,1806,A,NA
Saxony,1813,I,NA
Saxony,1814,A,NA
Saxony,1848,I,NA
Saxony,1849,A,1871
Senegal,1960,A,NA
Senegal,1962,I,NA
Senegal,1964,A,NA
Sierra Leone,1961,D,NA
Sierra Leone,1967,A,NA
Singapore,1959,D,NA
Singapore,1963,I,NA
Singapore,1965,A,NA
Slovakia,1993,D,NA
Slovenia,1991,D,NA
Somalia,1960,A,NA
Somalia,1964,D,NA
Somalia,1969,A,NA
Somalia,1991,I,NA
South Africa,1856,A,NA
South Africa,1902,I,NA
South Africa,1908,I,NA
South Africa,1910,A,NA
South Africa,1993,I,NA
South Africa,1994,D,NA
Spain,1801,A,NA
Spain,1808,I,NA
Spain,1814,A,NA
Spain,1836,I,NA
Spain,1837,A,NA
Spain,1869,I,NA
Spain,1871,A,NA
Spain,1874,I,NA
Spain,1876,A,NA
Spain,1930,I,NA
Spain,1931,D,NA
Spain,1939,A,NA
Spain,1975,I,NA
Spain,1978,D,NA
Sri Lanka,1948,D,NA
Sri Lanka,1977,I,NA
Sri Lanka,1978,D,NA
Sri Lanka,1982,A,NA
Sri Lanka,1994,D,NA
Sudan,1954,A,NA
Sudan,1964,I,NA
Sudan,1965,D,NA
Sudan,1969,I,NA
Sudan,1971,A,NA
Sudan,1985,I,NA
Sudan,1986,D,NA
Sudan,1989,A,NA
Swaziland,1968,A,NA
Sweden,1800,A,NA
Sweden,1809,I,NA
Sweden,1812,A,NA
Sweden,1907,I,NA
Sweden,1917,A,NA
Sweden,1921,D,NA
Switzerland,1848,A,NA
Switzerland,1971,D,NA
Syria,1944,D,NA
Syria,1949,A,NA
Syria,1954,D,NA
Syria,1958,I,NA
Syria,1961,A,NA
Taiwan,1949,A,NA
Taiwan,1991,D,NA
Tajikistan,1991,A,NA
Tanzania,1963,A,NA
Thailand,1800,A,NA
Thailand,1932,I,NA
Thailand,1935,A,NA
Thailand,1941,I,NA
Thailand,1942,A,NA
Thailand,1968,I,NA
Thailand,1969,A,NA
Thailand,1973,I,NA
Thailand,1975,D,NA
Thailand,1977,I,NA
Thailand,1978,A,NA
Thailand,1988,D,NA
Togo,1961,A,NA
Togo,1991,I,NA
Togo,1993,A,NA
Trinidad,1962,D,NA
Tunisia,1959,A,NA
Turkey,1800,A,NA
Turkey,1919,I,NA
Turkey,1922,I,NA
Turkey,1923,A,NA
Turkey,1946,D,NA
Turkey,1953,A,NA
Turkey,1960,I,NA
Turkey,1961,D,NA
Turkey,1971,A,NA
Turkey,1973,D,NA
Turkey,1980,A,NA
Turkey,1984,D,NA
Turkmenistan,1991,A,NA
Tuscany,1815,A,1860
Two Sicilies,1816,A,1860
Uganda,1962,D,NA
Uganda,1966,I,NA
Uganda,1967,A,NA
Uganda,1979,I,NA
Uganda,1981,D,NA
Uganda,1985,I,NA
Uganda,1986,A,NA
Ukraine,1991,D,NA
United Arabic Emirates,1971,A,NA
United Kingdom,1800,A,NA
United Kingdom,1928,D,NA
United Provinces of Central America,1824,A,1838
United States of America,1800,A,NA
United States of America,1920,D,NA
Uruguay,1830,A,NA
Uruguay,1952,D,NA
Uruguay,1972,I,NA
Uruguay,1973,A,NA
Uruguay,1985,D,NA
Uzbekistan,1991,A,NA
Venezuela,1830,A,NA
Venezuela,1963,D,NA
Wurttemburg,1800,A,1871
Yemen,1990,I,NA
Yemen,1994,A,NA
Yemen Arab Republic,1918,A,NA
Yemen Arab Republic,1946,I,NA
Yemen Arab Republic,1948,A,1989
Yemen People’s Republic,1967,A,1989
Yugoslavia,1921,A,NA
Yugoslavia,1937,I,NA
Yugoslavia,1939,A,NA
Yugoslavia,1941,I,NA
Yugoslavia,1944,I,NA
Yugoslavia,1946,A,NA
Yugoslavia,1951,I,NA
Yugoslavia,1953,A,NA
Zaire,1960,I,NA
Zaire,1965,A,NA
Zaire,1993,I,NA
Zambia,1964,A,NA
Zambia,1991,D,NA
Zimbabwe,1923,A,NA
Zimbabwe,1979,I,NA
Zimbabwe,1980,D,NA
Zimbabwe,1983,A,NA
